Circle Name,Region Name,Division Name,Office Name,Pincode,OfficeType,Delivery,District,StateName,,,,,,,,,,,,,,,,,
Maharashtra Circle,Pune Region,Pune City East Division,9 DRD B.O,411014,BO,Non Delivery,Pune,Maharashtra,,,,,,,,,,,,,,,,,
Maharashtra Circle,Pune Region,Pune City East Division,Airport S.O (Pune),411032,SO,Non Delivery,Pune,Maharashtra,,,,,,,,,,,,,,,,,
Maharashtra Circle,Pune Region,Pune City East Division,Akurdi S.O,411035,SO,Delivery,Pune,Maharashtra,,,,,,,,,,,,,,,,,
Maharashtra Circle,Pune Region,Pune City East Division,Ammunition Factory Khadki S.O,411003,SO,Non Delivery,Pune,Maharashtra,,,,,,,,,,,,,,,,,
Maharashtra Circle,Pune Region,Pune City East Division,Aundh Camp S.O,411027,SO,Delivery,Pune,Maharashtra,,,,,,,,,,,,,,,,,
Maharashtra Circle,Pune Region,Pune City East Division,Bhosari I.E. S.O,411026,SO,Delivery,Pune,Maharashtra,,,,,,,,,,,,,,,,,
Maharashtra Circle,Pune Region,Pune City East Division,Bhosarigoan S.O,411039,SO,Delivery,Pune,Maharashtra,,,,,,,,,,,,,,,,,
Maharashtra Circle,Pune Region,Pune City East Division,Bibvewadi S.O,411037,SO,Non Delivery,Pune,Maharashtra,,,,,,,,,,,,,,,,,
Maharashtra Circle,Pune Region,Pune City East Division,C D A (O) S.O,411001,SO,Non Delivery,Pune,Maharashtra,,,,,,,,,,,,,,,,,
Maharashtra Circle,Pune Region,Pune City East Division,C M E S.O,411031,SO,Delivery,Pune,Maharashtra,,,,,,,,,,,,,,,,,
Maharashtra Circle,Pune Region,Pune City East Division,Chikhali S.O,411062,SO,Non Delivery,Pune,Maharashtra,,,,,,,,,,,,,,,,,
Maharashtra Circle,Pune Region,Pune City East Division,Chinchwad East S.O,411019,SO,Delivery,Pune,Maharashtra,,,,,,,,,,,,,,,,,
Maharashtra Circle,Pune Region,Pune City East Division,Chinchwadgaon S.O,411033,SO,Delivery,Pune,Maharashtra,,,,,,,,,,,,,,,,,
